"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","My son Ethan had a school project to teach reading, following instructions, and teamwork.  He prepared some brownie https://t.co/9j7Jl3GB9E",FALSE,0,NA,2020-04-21 16:17:45,TRUE,NA,"1252632626399260673",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Genuine1971",0,FALSE,FALSE,NA,NA
"2","Are you running out of #baking and #cooking ideas in quarantine? Check out Rachael's book talk, featuring some fabu https://t.co/V27eiTQe55",FALSE,0,NA,2020-04-21 16:15:49,TRUE,NA,"1252632140048629760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AskOurLibrary",0,FALSE,FALSE,NA,NA
"3","Best Pumpkin Bread Recipe https://t.co/dD8iknyaXe #Bread #Baking #Dessert #Pumpkin https://t.co/UwRvaXgG7q",FALSE,0,NA,2020-04-21 16:15:40,FALSE,NA,"1252632101364604930",NA,"<a href=""https://missinglettr.com"" rel=""nofollow"">Missinglettr</a>","MagicalSiblings",0,FALSE,FALSE,NA,NA
"4","Love baking? Choose a smart, easy name for your blog or business website on a .ONLINE domain! #OnlineIsEasy https://t.co/hcGkYfMI14",FALSE,0,NA,2020-04-21 16:10:15,TRUE,NA,"1252630740153573376",NA,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","getdotonline",0,FALSE,FALSE,NA,NA
"5","my banana bread is more moiiist this time. baking with mayonnaise makes such a difference #moist #bananabread https://t.co/qsHuFZJnMC",FALSE,0,NA,2020-04-21 16:06:42,TRUE,NA,"1252629844594176000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_thechibiusa",0,FALSE,FALSE,NA,NA
"6","Sourdough galore!!!! How I made it!

#sourdough #crafty #epicurean #bread
#baking #delicious @CraftingMel https://t.co/XKLxMnUlWo",FALSE,0,NA,2020-04-21 16:06:08,TRUE,NA,"1252629702612709376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CraftingMel",0,FALSE,FALSE,NA,NA
"7","Day 30: Bread making kind of day. #bread #baking #sundried #tomato #cheese #cheddar #homelearning #lifeskills https://t.co/JJqhEhWJ3y",FALSE,1,NA,2020-04-21 16:06:04,TRUE,NA,"1252629687018426369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrDonelly_HH",1,FALSE,FALSE,NA,NA
"8","Texas Chocolate Sheet Cake #Chocolate #chocolatecake #cake #dessert #baking #sheetcake #foodie #yummy https://t.co/OcFTEFLTdw",FALSE,0,NA,2020-04-21 16:06:02,TRUE,NA,"1252629678990516224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","thesoandsolife",0,FALSE,FALSE,NA,NA
"9","All done! These were just turned out when I took the photo so I think theyre going to be good! Smells fantastic in https://t.co/TK6KWE1CM2",FALSE,0,NA,2020-04-21 16:05:53,TRUE,NA,"1252629638624481280",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Kashi_Nin",0,FALSE,FALSE,"-118.33","46.0651"
"10"," We know it can be hard to keep little ones busy whilst staying at home, so we've put together easy recipes that https://t.co/wpu0PRQbNR",FALSE,0,NA,2020-04-21 16:03:54,TRUE,NA,"1252629142618738688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PRESENCEDirect",0,FALSE,FALSE,NA,NA
"11","Oven Roasted Turkey Breast, Avaliable in our Deli.

#CedarbrookBakery #Bakery #Deli #Bistro #Langley #Brookswood https://t.co/fYUi9U9la5",FALSE,0,NA,2020-04-21 16:02:33,TRUE,NA,"1252628799180726273",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CedarbrookBakes",0,FALSE,FALSE,NA,NA
"12","Pupils in Year 6 have been set the task in Art and DT to use up some of their Easter Eggs by making krispie cakes - https://t.co/k3at7zfr4O",FALSE,0,NA,2020-04-21 16:00:47,TRUE,NA,"1252628356606066689",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BuryGrammar",0,FALSE,FALSE,NA,NA
"13","BAKING|Victoria Sponge Cake #baking #blogpost #spongecake #lactosefree #victoriaspongecake #blogger #blogging https://t.co/ArnsOnhwE6",FALSE,0,NA,2020-04-21 16:00:01,FALSE,NA,"1252628162124689414",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","girlwithablog16",0,FALSE,FALSE,NA,NA
"14","Dont forget to tune in! Join me at 2pm ET today on FB Live. Well learn to make Black and White Cookies. A delicio https://t.co/oiS4EBsCev",FALSE,1,NA,2020-04-21 15:58:02,TRUE,NA,"1252627663946240003",NA,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>","ChefGailSokol",0,FALSE,FALSE,NA,NA
"15","Baking in the #quarantine 
#chefconniebakes #culinaryadventures #cookies #pastry #valrhona #valrhonausa https://t.co/CNnzPfkzKU",FALSE,0,NA,2020-04-21 15:57:03,TRUE,NA,"1252627418478772225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChefConnieBakes",0,FALSE,FALSE,NA,NA
"16","Maumay tayo sa PIZZA!! Hehe

#Baking https://t.co/SYxRWBNILB",FALSE,0,NA,2020-04-21 15:56:42,FALSE,NA,"1252627327063748608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imMsLibra",0,FALSE,FALSE,NA,NA
"17","#baking paneer #puff #cheese #twisties #bhanucooks #stayhomeideas #homechef #masterchef #coronakoharanahai https://t.co/5JH6TWltIC",FALSE,1,NA,2020-04-21 15:56:14,TRUE,NA,"1252627211259129858",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bhanukooll",1,FALSE,FALSE,"77.028908","28.46096"
"18","More baking !   Chocochip cookies.  Batch one was kinda fat and fudgy.  Second batch we added more flavor like blue https://t.co/SvmQtk6C6y",FALSE,0,NA,2020-04-21 15:54:48,TRUE,NA,"1252626850653835264",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","earthlngorgeous",0,FALSE,FALSE,NA,NA
"19","Should I be offended that my kid saw my attempt at a spiderman face, and then immediately asked for the rest to be https://t.co/NAz9oRjLvv",FALSE,1,NA,2020-04-21 15:53:39,TRUE,NA,"1252626563104989185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kellyfallula",0,FALSE,FALSE,NA,NA
"20","In 1837 a new #rhubarb arrived and was named #Victoria #Queen #Baking #MrsBeeton 
#HolstFromHome #MuseumFromHome https://t.co/2qj6TavFTN",FALSE,1,NA,2020-04-21 15:53:10,TRUE,NA,"1252626440790605828",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HolstMuseum",1,FALSE,FALSE,NA,NA
